ObjectId,Country,ISO2,ISO3,Indicator,Technology,Energy_Type,Unit,Source,CTS_Name,CTS_Code,CTS_Full_Descriptor,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
1,Advanced Economies,,AETMP,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",109628.668,106082.875,115399.651,122991.148,134882.703,150757.179,160685.614,169043.661,177258.779,182491.37,200345.451,207450.183,223861.248,238487.933,250919.577,263542.75,274561.81,281658.673,286653.446,292379.608,294178.354,306827.472,297837.826,
20,Africa,,NA605,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",809.979,840.879,862.879,870.879,879.879,963.129,895.502,910.352,954.972,1007.281,1035.92,1118.46,1214.213,1286.803,1379.37,1460.29,1522.685,1639.06,1793.16,1804.66,1819.417,1917.16,1915.996,1898.996
21,Africa,,NA605,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",322077.6829,341429.4079,368849.5549,394515.7399,448410.0219,445337.8234,456141.0713,476951.9753,482880.7059,492370.6438,521427.3928,538316.6231,564177.3059,574041.382,594081.5287,611447.3826,604718.3774,625304.5649,637949.297,650540.6486,622666.9946,641533.397,677716.363,
22,Africa,,NA605,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",72252.3878,74545.7158,75333.5258,79231.6058,80635.9878,85289.6558,88395.7198,94116.5998,97888.4238,103221.5538,109815.2718,114187.3668,119278.9228,126013.6848,131734.8318,136673.2538,146611.4378,157160.2998,172522.2278,177439.3588,181831.1628,185015.8528,186809.4348,188733.24
23,Africa,,NA605,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",76120.741,82806.903,80875.351,82676.756,87309.65,94347.744,96305.55,94886.337,98920.335,105356.413,109759.816,110361.347,112258.42,118374.336,122284.174,121307.388,118245.626,125566.708,135415.493,142110.575,148310.887,155558.247,160505.156,
24,Africa,,NA605,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",20842.063,20964.106,21205.251,21582.134,21522.109,21549.76,21521.488,21722.38,22031.827,23821.025,24631.588,24782.371,25445.982,26703.822,26728.223,27237.6,28166.093,30923.444,32287.93,32993.234,33852.455,34332.865,36079.022,37083.682
25,Africa,,NA605,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",11.648,14.777,17.504,20.926,25.301,30.604,39.068,48.286,59.447,83.88,175.819,598.641,1054.822,739.372,2020.409,3309.764,5130.086,7926.83,10232.217,13199.761,17423.468,21046.747,22463.281,
26,Africa,,NA605,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",8.555,10.71,12.676,15.119,18.416,22.012,29.443,38.011,48.806,87.141,210.725,289.13,337.668,643.883,1630.376,2125.413,3296.107,5048.163,7944.276,9293.14,10658.712,11581.588,12646.002,13438.073
27,Africa,,NA605,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",185.094,425.249,455.162,468.361,639.094,804.174,809.559,990.876,1222.534,1483.647,2012.29,2407.884,2830.708,3499.908,4477.434,5457.216,7006.378,7152.1,7845.297,9727.086,10741.542,12737.23,12995.893,
28,Africa,,NA605,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",139.05,139.05,144.31,153.79,236.11,240.18,327.905,470.1,555.3,742.4,864.777,994.982,1131.994,1741.834,2399.398,3320.268,3831.394,4578.263,5470.653,5527.853,6513.753,6908.753,7744.853,8653.628
29,Albania,AL,ALB,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,,,,,,1.425,1.425,1.425,1.425,1.425,1.425,1.425
30,Albania,AL,ALB,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",184,175,226,107,140,70,93,72,,1,1,59,,,,,,,,,,,,
31,Albania,AL,ALB,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",224,224,224,224,224,224,224,224,,,,,97,98,98,98,98,98,98,98,97,97,97,97
32,Albania,AL,ALB,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",4594,3555,3512,4885,5466,5373,5431,2788,3797,5201,7567,4132,4725,6959,4724.441,5895,7781.702,4524.979,8552.152,5183.847,5280.901,8921.94,6841.751,
33,Albania,AL,ALB,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",1453,1453,1453,1453,1453,1453,1453,1455,1457,1459,1475,1508,1628,1781,1725,1798,1913,2047,2105,2162,2387,2507,2493,2493
34,Albania,AL,ALB,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,0.136,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.408,0.544,0.767,0.924,1.03,1.188,1.428,1.36,1.2,1.334,22.196,32.265,40.77,160.892,
35,Albania,AL,ALB,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.564,0.679,0.758,0.874,1.05,1,1,1,14,21,23,100.14,240.14
36,Algeria,DZ,DZA,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",25358,26556,27591,29306.4,30999,32320,35008,36970,39953,38195,45560,50722,56775,59560,63988,68576,70661,75383,75880,80691,78432,84729,90550,
37,Algeria,DZ,DZA,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",5846.21,5842.7,6333.81,6465.24,6757.24,7576.02,8017.26,8629.46,8740.33,11565.66,11751.094,11857.064,13317.88,15632.26,16491.36,17733.73,19574.4,19995.9,21583.9,23923.5,24763.5,25219.5,26019.5,27219.5
38,Algeria,DZ,DZA,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",54,69,57.4,265.2,251.1,555.261,217.57,226.08,282.715,342,172.78,378.222,389.4,98.481,192.6,145.318,72,56,117,152,49.6,9,16,
39,Algeria,DZ,DZA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,228,228,228,208.6,128.9,128.9,128.9
40,Algeria,DZ,DZA,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,0.1,103.117,193.233,192.536,199.733,194.954,372.1,426,687.664,711.045,816.11,793.11,835.11,
41,Algeria,DZ,DZA,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,25,25,25,25,28.3,61.1,261.1,354.1,366.1,366.1,366.1,366.1,450.8,450.8
42,Algeria,DZ,DZA,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,,,,,1,19.235,19.4,19.4,10,10,8,11,16,
43,Algeria,DZ,DZA,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",,,,,,,,,,,,,,,10.2,10.2,10.2,10.2,10,10,10,10,10,10
44,American Samoa,AS,ASM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",169.587,172.985,181.049,188.165,188.084,188.896,187.781,185.958,185.878,173.575,158.082,155.116,155.119,153.873,154.762,161.392,167.799,160.942,159.657,166.332,170.497,173.477,130.361,
45,American Samoa,AS,ASM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Installed Capacity",40.14,40.14,40.14,40.14,38.54,38.54,38.82,38.82,38.82,38.82,25.17,43.17,34.17,34.17,34.17,34.17,33.21,39.71,39.71,39.71,39.71,39.71,46.71,46.71
46,American Samoa,AS,ASM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),"International Renewable Energy Agency (IRENA) (2022), Renewable Energy Statistics 2022, https://pxweb.irena.org/pxweb/en/IRENASTAT. Accessed on 2023-07-25; IMF Staff Calculations.",Electricity Generation,ECNEG,"Environment, Climate Change, Mitigation, Renewable Energy, Electricity Generation",,,,,,,,,,,,,1.409,2.419,2.363,2.494,6.189,7.739,7.975,7.435,6.548,5.581,4.096,
